"","27","28","29","30","31","32"
"Bangkok",558401.15,557267.51,555248.39,551417.48,544216.9,534371.77
"Bengaluru",506856.31,504598.8,501777.16,499159.62,496915.85,495220.29
"Chennai",545486.95,543594.68,540574.54,535775.61,530885.83,525309.66
"Darwin",526234.93,525127.66,523194.58,519512.77,512775.27,501907.62
"Dhaka",533857.91,532718.54,530917.67,527722.34,523368.39,517082.79
"Freetown",476544.58,470486.23,465274.62,455159.2,442567.04,435865.43
"Guam",520140.35,517395.76,509605.31,499472.21,482062.51,472902.02
"Honiara",474659.04,473213.48,471034.96,467162.26,456923.02,444896.77
"Honolulu",463372.27,457524.98,451413.97,445855.55,438647.07,435624.13
"Hyderabad",504288.28,502644.22,500241.02,497081.25,493152.95,490634.66
"Jakarta",515097.91,514014.88,511658.4,506541.4,497031.61,481549.13
"Kinshasa",471332.49,469549.04,467130.24,463901.04,459389.74,454595.28
"Kolkata",543760.07,543029.04,541565.87,539076.1,535075.2,528723.84
"KualaLumpur",530291.42,528967.42,526736.46,522961.89,517531.7,508556.28
"Lagos",500094.68,497547.22,493820.7,488600.3,482449.81,474975.57
"Manila",539757.97,536903.99,530436.24,521552.68,510790.28,500631.99
"Miami",534779.31,534394.44,533439.18,530509.3,523125.56,519178.69
"Mumbai",536631.56,535371.59,532692.3,527772,520267.77,510579.12
"RioDeJaneiro",505370,504263.6,502719.95,500812.74,498140.95,495308.19
"SantoDomingo",477402.49,473338.5,465499.05,455128.48,443722.59,433918.24
"Singapore",532643.38,530651.25,526872.5,517719.37,501946.69,486209.49
